Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio
佐野恵太,0.1783452296819788,0.06007067137809187,0.0001,0.014134275618374558,0.06890459363957598,0.6784452296819788
牧秀悟,0.17102299465240642,0.058823529411764705,0.0001,0.040998217468805706,0.0748663101604278,0.6541889483065954
宮﨑敏郎,0.16621130063965886,0.0511727078891258,0.0001,0.029850746268656716,0.12366737739872068,0.628997867803838
オースティン,0.14382022471910114,0.07640449438202247,0.0044943820224719105,0.056179775280898875,0.10112359550561797,0.6179775280898876
山本祐大,0.20595533498759305,0.034739454094292806,0.004962779156327543,0.01240694789081886,0.07444168734491315,0.6674937965260545
梶原昂希,0.21652421652421652,0.045584045584045586,0.008547008547008548,0.011396011396011397,0.03133903133903134,0.6866096866096866
桑原将志,0.1868158878504673,0.037383177570093455,0.0001,0.01557632398753894,0.07165109034267912,0.6884735202492211
度会隆輝,0.1948529411764706,0.025735294117647058,0.003676470588235294,0.011029411764705883,0.06985294117647059,0.6948529411764707
蝦名達夫,0.16195533596837947,0.05138339920948617,0.0001,0.011857707509881422,0.09090909090909091,0.683794466403162
京田陽太,0.1864406779661017,0.029661016949152543,0.00423728813559322,0.00423728813559322,0.05508474576271186,0.7203389830508475
森敬斗,0.16990000000000002,0.06,0.005,0.0001,0.06,0.7050000000000001
筒香嘉智,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.041666666666666664,0.10714285714285714,0.7261904761904763
関根大気,0.18994084507042255,0.014084507042253521,0.0001,0.0001,0.09154929577464789,0.7042253521126761
林琢真,0.09639122807017543,0.043859649122807015,0.008771929824561403,0.0001,0.07894736842105263,0.7719298245614035
戸柱恭孝,0.18536701030927838,0.041237113402061855,0.0001,0.0001,0.061855670103092786,0.711340206185567
大和,0.2019276595744681,0.010638297872340425,0.0001,0.0001,0.06382978723404255,0.723404255319149
伊藤光,0.13819787234042555,0.0425531914893617,0.0001,0.010638297872340425,0.06382978723404255,0.7446808510638299
石上泰輝,0.11372405063291138,0.05063291139240506,0.0001,0.0001,0.0759493670886076,0.759493670886076
東克樹,0.07906507936507935,0.0001,0.0001,0.0001,0.06349206349206349,0.8571428571428572
ジャクソン,0.0781313725490196,0.0001,0.0001,0.0001,0.0392156862745098,0.8823529411764707
