Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio,Speed
長岡秀樹,0.2144026186579378,0.0409165302782324,0.0016366612111292,0.0098199672667757,0.0523731587561374,0.6808510638297873,5
村上宗隆,0.1229508196721311,0.021311475409836,0.001639344262295,0.0540983606557377,0.1786885245901639,0.6213114754098361,3
オスナ,0.1691307692307692,0.0478632478632478,0.0001,0.029059829059829,0.0735042735042735,0.6803418803418803,-6
サンタナ,0.1775859504132231,0.0599173553719008,0.0001,0.0351239669421487,0.1260330578512396,0.6012396694214877,0
山田哲人,0.1246753246753246,0.0363636363636363,0.0025974025974025,0.0363636363636363,0.1064935064935064,0.6935064935064934,4
西川遥輝,0.1763085399449036,0.0358126721763085,0.0055096418732782,0.0027548209366391,0.1267217630853994,0.6528925619834709,12
中村悠平,0.169771671388102,0.0254957507082152,0.0001,0.0001,0.0963172804532577,0.7082152974504249,0
丸山和郁,0.178954054054054,0.0236486486486486,0.0033783783783783,0.0001,0.0878378378378378,0.706081081081081,3
宮本丈,0.2132146341463414,0.0182926829268292,0.0001,0.0001,0.073170731707317,0.6951219512195123,1
武岡龍世,0.1156462585034013,0.0136054421768707,0.0068027210884353,0.0204081632653061,0.0680272108843537,0.7755102040816326,4
松本直樹,0.1970830985915493,0.0492957746478873,0.0001,0.0070422535211267,0.028169014084507,0.7183098591549296,1
岩田幸宏,0.1784714285714286,0.0142857142857142,0.0001,0.0071428571428571,0.0571428571428571,0.7428571428571429,10
青木宣親,0.1703426356589147,0.0387596899224806,0.0001,0.0001,0.0775193798449612,0.7131782945736435,2
塩見泰隆,0.1857407079646018,0.0265486725663716,0.0001,0.0265486725663716,0.0973451327433628,0.6637168141592918,3
増田珠,0.1273509803921568,0.0392156862745098,0.0001,0.0196078431372549,0.0588235294117647,0.7549019607843137,-2
赤羽由紘,0.1537461538461538,0.0307692307692307,0.0001,0.0307692307692307,0.0307692307692307,0.7538461538461538,4
川端慎吾,0.2128147540983606,0.0001,0.0001,0.0001,0.0491803278688524,0.7377049180327868,0
内山壮真,0.1664666666666666,0.0185185185185185,0.0001,0.0001,0.037037037037037,0.7777777777777779,1
太田賢吾,0.1599,0.02,0.02,0.0001,0.02,0.7799999999999999,3
